,dbn,schoolname,rr_s,N_s,nr_s,saf_s_11,com_s_11,eng_s_11,aca_s_11
2,01M015,P.S. 015 Roberto Clemente,,,0,,,,
3,01M019,P.S. 019 Asher Levy,,,0,,,,
4,01M020,P.S. 020 Anna Silver,,,0,,,,
5,01M034,P.S. 034 Franklin D. Roosevelt,89,145,163,6.2,5.9,6.5,7.4
6,01M063,P.S. 063 William McKinley,,,0,,,,
7,01M064,P.S. 064 Robert Simon,,,0,,,,
8,01M110,P.S. 110 Florence Nightingale,,,0,,,,
9,01M134,P.S. 134 Henrietta Szold,,,0,,,,
10,01M137,P.S. 137 John L. Bernstein,,,0,,,,
11,01M140,P.S. 140 Nathan Straus,98,185,189,7.6,6.7,7.5,8
12,01M142,P.S. 142 Amalia Castro,,,0,,,,
13,01M184,P.S. 184 Shuang Wen,96,156,162,7.4,5.9,7.2,7.7
14,01M188,P.S. 188 The Island School,82,119,146,6.8,6.3,7,7.5
15,01M292,Henry Street School for International Studies,89,379,425,6,5.6,6.1,6.7
16,01M301,"Technology, Arts, and Sciences Studio",99,181,182,5.8,5.9,6.4,7
17,01M315,The East Village Community School,,,0,,,,
18,01M332,University Neighborhood Middle School,96,110,115,7.2,6.6,7,8.1
19,01M345,"Collaborative Academy of Science, Technology, & La",100,254,255,7,6.3,7,7.6
20,01M361,The Children's Workshop School,,,0,,,,
21,01M363,Neighborhood School,,,0,,,,
22,01M364,Earth School,,,0,,,,
23,01M378,School for Global Leaders,78,204,260,7.5,7.7,7.3,8
24,01M448,University Neighborhood High School,84,385,459,6,5.7,6.3,7
25,01M450,East Side Community School,0,,566,,,,
26,01M458,Forsyth Satellite Academy,40,66,167,6.8,6.1,6.1,6.8
27,01M509,Marta Valle High School,90,306,339,6.4,5.9,6.4,7
28,01M515,Lower East Side Preparatory High School,95,454,477,8,6.3,7,7.3
29,01M539,"New Explorations into Science, Technology and Math",98,923,945,7.3,6.4,7,7.7
30,01M650,Cascades High School,75,125,166,8.1,6.9,7.9,8.4
31,01M696,Bard High School Early College,98,561,571,8.3,7.3,8,8.9
32,01M839,Tompkins Square Middle School,88,340,388,7.6,7.2,7.8,8.1
33,02M001,P.S. 001 Alfred E. Smith,,,0,,,,
34,02M002,P.S. 002 Meyer London,,,0,,,,
35,02M003,P.S. 003 Charrette School,,,0,,,,
36,02M006,P.S. 006 Lillie D. Blake,,,0,,,,
37,02M011,P.S. 011 William T. Harris,,,0,,,,
38,02M033,P.S. 033 Chelsea Prep,,,0,,,,
39,02M040,P.S. 040 Augustus Saint-Gaudens,,,0,,,,
40,02M041,P.S. 041 Greenwich Village,,,0,,,,
41,02M042,P.S. 042 Benjamin Altman,,,0,,,,
