,name_1,zip,flag_chld
0,Allied Service Center NYC,10032,0.0
1,Beth Israel Medical Center,11215,0.0
2,New York Center Addiction Treatment,11372,0.0
3,"Bleuler Psychotherapy Center, Inc.",11375,1.0
4,"Safe Space NYC, Inc.",11434,1.0
5,"Samuel Field YM & YWHA, Inc.",11375,0.0
6,"Samuel Field YM & YWHA, Inc.",11360,0.0
7,"Samuel Field YM & YWHA, Inc.",11433,0.0
8,"Service Program for Older People, Inc.",10024,0.0
9,"Service Program for Older People, Inc.",10128,0.0
10,"Service Program for Older People, Inc.",10012,0.0
11,"Service Program for Older People, Inc.",10003,0.0
12,"Service Program for Older People, Inc.",10002,0.0
13,"Service Program for Older People, Inc.",10075,0.0
14,"Service Program for Older People, Inc.",10029,0.0
15,"Service Program for Older People, Inc.",10128,0.0
16,South Beach Psychiatric Center,11217,0.0
17,South Beach Psychiatric Center,11230,0.0
18,St. Luke's-Roosevelt Hospital center,10018,0.0
19,Goddard-Riverside Community Center,10024,0.0
20,"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",11101,0.0
21,"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",11223,0.0
22,"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",10455,0.0
23,"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",11101,0.0
24,"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",11223,0.0
25,"Goodwill Industries of Greater New York & Northern New Jersey, Inc.",10455,0.0
26,"Heights Hill Mental Health Service Community Advisory Board, Inc.",11217,0.0
27,"Hospital Audiences, Inc.",11101,1.0
28,"Jewish Association for Services for the Aged, Inc.",10465,0.0
29,"Jewish Association for Services for the Aged, Inc.",11206,0.0
30,"Jewish Board of Family and Children's Services, Inc.Â ",10020,1.0
31,"Jewish Board of Family and Children's Services, Inc.Â ",11201,0.0
32,"Jewish Board of Family and Children's Services, Inc.Â ",10461,0.0
33,"Jewish Board of Family and Children's Services, Inc.Â ",10463,0.0
34,Jewish Board of Family & Children's Services,11209,0.0
35,Jewish Board of Family & Children's Services,11201,1.0
36,Jewish Board of Family & Children's Services,10471,0.0
37,Jewish Board of Family & Children's Services,10463,1.0
38,Jewish Child Care Association of New York,10016,1.0
39,JGB Mental Health and Mental Retardation Svcs,11229,0.0
40,Lutheran Medical Center,10019,0.0
41,Lutheran Medical Center,11232,1.0
42,"Palladia, Inc.",10029,0.0
43,"Palladia, Inc.",10035,0.0
44,"Palladia, Inc.",10029,0.0
45,Legal Action Ctr Of The City Of Ny,10014,0.0
46,"Qsa Services, Inc.D/B/A  Pac Of Queens",11373,0.0
47,"Reborn For New Life, Llc",11207,0.0
48,"Ohel Children's Home & Family Services, Inc.",11229,1.0
49,"Pesach Tikvah-Hope Development, Inc.",11206,0.0
50,"Pesach Tikvah-Hope Development, Inc.",11218,0.0
51,"Postgraduate Center for Mental Health, Inc.",10010,1.0
52,"Postgraduate Center for Mental Health, Inc.",11232,1.0
53,Jamaica Hospital Medical Center CPEP,11418,0.0
54,Jamaica Hospital Mental Health Clinic,11435,1.0
55,Bronx Counseling (Resource) Center Clinic,10459,0.0
56,Bronx Counseling (Resource) Center Clinic,10467,1.0
57,Brooklyn Counseling (Resource) Center Clinic,11219,0.0
58,"Staten Island Mental Health Society, Inc.",10309,0.0
59,"Staten Island Mental Health Society, Inc.",10310,1.0
60,"Staten Island Mental Health Society, Inc.",10304,1.0
61,"Staten Island Mental Health Society, Inc.",10305,1.0
62,"Staten Island Mental Health Society, Inc.",10301,1.0
63,"Staten Island Mental Health Society, Inc.",10303,1.0
64,"Staten Island Mental Health Society, Inc.",10304,1.0
65,"The Child Center of NY, Inc.",11354,1.0
66,"The Child Center of NY, Inc.",11357,1.0
67,"The Child Center of NY, Inc.",11691,1.0
68,"The Child Center of NY, Inc.",11102,1.0
69,"The Child Center of NY, Inc.",11103,1.0
70,"The Child Center of NY, Inc.",11377,1.0
71,The Family Center,11216,1.0
72,"The Floating Hospital, Inc.",11101,0.0
73,"The Floating Hospital, Inc.",11101,0.0
74,"Bleuler Psychotherapy Center, Inc.",11375,1.0
